d,en,nl
d1,Good food,Goed eten
d2,Music,Muziek
d3,Live music,Live muziek
d4,Outdoor exercise,Buitenactiviteiten
d5,Swimming,Zwemmen
d6,Food,Eten
d7,Much food,Veel eten
d8,Burgers,Hamburgers
d9,Fast food,Fast food
d10,Midnight service,Nachtdienst
d11,Service,Service
d12,Types of food,Types eten
d13,Conscious food,Bewust eten
d14,Snacks,Snacks
d15,Crowdedness,Drukte
d16,Ingredients,Ingrediënten
d17,Bacon,Spek
d18,Grapes,Vruchten
d19,Ham,Ham
d20,Dishes,Gerechten
d21,Hash browns,Hash browns
d22,Hiking,Hiken
d23,Internet,Internet
d24,Drinks,Drinken
d25,Coffee,Koffie
d26,Atmosphere,Sfeer
d27,Kitchens,Keukens
d28,Indian kitchen,Indiase keuken
d29,Romantic atmosphere,Romantische sfeer
d30,Markets,Markten
d31,Culture,Cultuur
d32,Art,Kunst
d33,History,Geschiedenis
d34,Architecture,Architectuur
d35,Experience,Ervaringen
d36,Thrill,Spanning
d37,Local culture,Lokale cultuur
d38,Local people,Lokale mensen
d39,Walking,Wandelen
d40,Relaxing,Ontspannen
d41,Outdoor,Buiten
d42,Picnics,Picnics
d43,Chips,Chips
d44,Craftmanship,Vakmanschap
d45,Alcoholic drinks,Alcoholische dranken
d46,Modern art,Moderne kunst
d47,Traditional local culture,Traditionele lokale cult.
d48,Fun,Lol
d49,Animals,Dieren
d50,Dolphins,Dolfijnen
d51,Adventure,Avontuur
d52,Going out,Uitgaan
d53,Vegetarian food,Vegetarisch eten
d54,Healthy food,Gezond eten
d55,Good drinks,Goede drankjes
d56,Cocktails,Cocktails
d57,Dancing,Dansen
d58,Cheap,Goedkoop
d59,Museums,Museums
d60,Beer,Bier
d61,Outdoor food,Buiten eten
d62,Pub food,Pubeten
d63,Squalor,Smerigheid
d64,Scottish food,Schots eten
d65,Italian food,Italiaans eten
d66,Pizzas,Pizza's
d67,Shopping,Winkelen
d68,Souvenirs,Souveniers
d69,Authentic souvenirs,Authentieke souveniers
d70,Beautiful experiences,Mooie ervaringen
d71,Beautiful view,Mooi uitzicht
d72,Convenience,Gemak
d73,Comfort,Comfort
d74,Comfortable seats,Comfortable stoelen
d75,Nature,Natuur
d76,Peaceful atmosphere,Vredige omgeving
d77,Driving,Rijden
d78,Driving a boat,Een boot bevaren
d79,Fruit,Fruit
d80,Meat,Vlees
d81,Ice cream,IJsjes
d82,Local food,Lokaal eten
d83,Vegetables,Groenten
d84,Cinema,Film
d85,Arthouse films,Arthouse films
d86,Train rides,Treinritten
d87,Weddings,Bruiloften
d88,Bagles,Broodjes
d89,Non-alcoholic drinks,Non-alcohol. dranken
d90,Chocolate drinks,Chocolade dranken
d91,Paninis,Panini's
d92,Social atmosphere,Gezellige sfeer
d93,Cheesecakes,Kaastaarten
d94,Purchasing art,Kunst kopen
d95,Waterfalls,Watervallen
d96,Fishing,Vissen
d97,Fly fishing,Hengelen
d98,Late night service,Late avonddienst
d99,Spas,Spa's
d100,Wine,Wijn
d101,Body art,Lichaamskunst
d102,Tattoos,Tatoeages
d103,Piercings,Piercings
d104,Jazz,Jazz
d105,Blues,Blues
d106,Sea views,Zeezicht
d107,Quiet atmosphere,Rustige sfeer
d108,Gardens,Tuinen
d109,Cider,Cider
d110,Excitement,Opgewondenheid
d111,Massage,Massage
d112,Beautiful sights,Mooie uitzichten
d113,Cycling,Fietsen
d114,Mountain biking,Mountainbiken
d115,Solo travellers,Solo-reizigers
d116,Groups,Groepen
d117,Families,Families
d118,A low budget,Klein budget
d119,Friends,Vrienden
d120,Couples,Koppels
d121,Teenagers,Tieners
d122,Adults,Volwassenen
