e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
0,Brummen,BRUMMEN,municipality,6.126552567,52.10974697,7,10,15,NL.GE.BR,brummen,gadm,shape,3,nl,,,,13900,,
1,Buren,BUREN,municipality,5.409303641,51.93887393,7,10,15,NL.GE.BU,buren,gadm,shape,3,nl,,,,23213,,
2,Culemborg,CULEMBORG,municipality,5.215004547,51.94631303,7,10,15,NL.GE.CU,culemborg,gadm,shape,3,nl,,,,5028,,
3,Didam,DIDAM,municipality,6.14403769,51.94355978,7,10,15,NL.GE.DD,didam,gadm,shape,3,nl,,,,5708,,
4,Dinxperlo,DINXPERLO,municipality,6.506752728,51.88479522,7,10,15,NL.GE.DX,dinxperlo,gadm,shape,3,nl,,,,2376,,
5,Doesburg,DOESBURG,municipality,6.154964711,52.0196708,7,10,15,NL.GE.DB,doesburg,gadm,shape,3,nl,,,,2061,,
6,Doetinchem,DOETINCHEM,municipality,6.332719746,51.95990204,7,10,15,NL.GE.DT,doetinchem,gadm,shape,3,nl,,,,8570,,
7,Druten,DRUTEN,municipality,5.619089254,51.87570457,7,10,15,NL.GE.DR,druten,gadm,shape,3,nl,,,,6844,,
8,Duiven,DUIVEN,municipality,6.026205206,51.94729885,7,10,15,NL.GE.DU,duiven,gadm,shape,3,nl,,,,5706,,
9,Ede,EDE,municipality,5.734685417,52.07697051,6,10,15,NL.GE.ED,ede,gadm,shape,3,nl,,,,51825,,
10,Eibergen,EIBERGEN,municipality,6.644086468,52.07886986,7,10,15,NL.GE.EI,eibergen,gadm,shape,3,nl,,,,18854,,
11,Elburg,ELBURG,municipality,5.856919029,52.41213556,7,10,15,NL.GE.EL,elburg,gadm,shape,3,nl,,,,10470,,
12,Epe,EPE,municipality,5.962370564,52.32588324,7,10,15,NL.GE.EP,epe,gadm,shape,3,nl,,,,25832,,
13,Ermelo,ERMELO,municipality,5.674317954,52.28809542,7,10,15,NL.GE.ER,ermelo,gadm,shape,3,nl,,,,14010,,
14,Geldermalsen,GELDERMALSEN,municipality,5.225768569,51.88843048,7,10,15,NL.GE.GM,geldermalsen,gadm,shape,3,nl,,,,16595,,
15,Gendringen,GENDRINGEN,municipality,6.388529791,51.88108822,7,10,15,NL.GE.GN,gendringen,gadm,shape,3,nl,,,,10300,,
16,Gorssel,GORSSEL,municipality,6.26758561,52.19359927,7,10,15,NL.GE.GO,gorssel,gadm,shape,3,nl,,,,14315,,
17,Groenlo,GROENLO,municipality,6.62902235,52.04336243,7,10,15,NL.GE.GR,groenlo,gadm,shape,3,nl,,,,1553,,
18,Belgium,BELGIUM,country,4.661244931,50.64105148,2,6,7,BE,belgium,gadm,shape,1,be,,,,4833103,,
19,Groesbeek,GROESBEEK,municipality,5.943083359,51.78597104,7,10,15,NL.GE.GB,groesbeek,gadm,shape,3,nl,,,,7624,,
20,Harderwijk,HARDERWIJK,municipality,5.661773493,52.33950401,7,10,15,NL.GE.HW,harderwijk,gadm,shape,3,nl,,,,6306,,
21,Hattem,HATTEM,municipality,6.06064678,52.47513348,7,10,15,NL.GE.HT,hattem,gadm,shape,3,nl,,,,3938,,
