d,name,sum,t1,t2,t3,t4,t5,t6,t7,,,,
1,Good food,170,20,10,10,100,0,10,20,,,,
2,Music,210,10,40,50,30,10,50,20,,,,
3,Live music,210,10,30,60,20,20,60,10,,,,
4,Outdoor exercise,111,10,70,30,0,0,1,0,,,,
5,Swimming,115,10,60,40,0,0,5,0,,,,
6,Food,0,0,0,0,0,0,0,0,,,,
7,Much food,56,10,10,5,30,0,1,0,,,,
8,Burgers,53,1,5,5,40,0,1,1,,,,
9,Fast Food,63,1,5,5,50,0,1,1,,,,
10,Midnight service,91,1,5,5,50,0,0,30,,,,
11,Service,0,0,0,0,0,0,0,0,,,,
12,Types of food,0,0,0,0,0,0,0,0,,,,
13,Conscious food,82,1,5,5,60,0,1,10,,,,
14,Snacks,57,1,5,5,40,0,1,5,,,,
15,Crowdedness,0,0,0,0,0,0,0,0,,,,
16,Ingredients,0,0,0,0,0,0,0,0,,,,
17,Bacon,24,1,1,1,20,0,0,1,,,,
18,Grapes,24,1,1,1,20,0,0,1,,,,
19,Ham,24,1,1,1,20,0,0,1,,,,
20,Dishes,0,0,0,0,0,0,0,0,,,,
21,Hash browns,28,5,1,1,20,0,0,1,,,,
22,Hiking,121,40,40,1,0,0,0,40,,,,
23,Internet,34,1,1,1,30,0,0,1,,,,
24,Drinks,0,0,0,0,0,0,0,0,,,,
25,Coffee,36,1,5,5,5,0,0,20,,,,
26,Atmosphere,160,20,10,10,50,0,50,20,,,,
27,Kitchens,0,0,0,0,0,0,0,0,,,,
28,Indian kitchen,62,10,1,1,40,0,0,10,,,,
29,Romantic atmosphere,260,30,30,60,60,0,60,20,,,,
30,Market,0,0,0,0,0,0,0,0,,,,
31,Culture,191,10,70,70,0,10,30,1,,,,
32,Art,360,50,80,80,10,50,30,60,,,,
33,History,320,60,60,60,10,60,30,40,,,,
34,Architecture,211,50,40,40,10,50,20,1,,,,
35,Experience,0,0,0,0,0,0,0,0,,,,
36,Thrill,90,10,50,20,0,0,10,0,,,,
37,Local culture,230,10,60,60,0,40,50,10,,,,
38,Local people,305,10,60,60,60,5,60,50,,,,
39,Walking,0,0,0,0,0,0,0,0,,,,
40,Relaxing,230,30,50,50,0,50,40,10,,,,
41,Outdoor,0,0,0,0,0,0,0,0,,,,
42,Picnics,121,10,40,30,20,20,1,0,,,,
43,Chips,33,1,5,5,20,0,1,1,,,,
44,Craftmanship,161,10,10,40,0,30,1,70,,,,
45,Alcoholic drinks,80,10,10,10,10,0,20,20,,,,
46,Modern art,230,50,30,40,10,40,20,40,,,,
47,Traditional local culture,310,20,70,70,20,50,30,50,,,,
48,Fun,290,10,80,80,10,30,60,20,,,,
49,Animals,175,10,50,50,10,30,5,20,,,,
50,Dolphins,92,20,30,30,1,10,0,1,,,,
51,Adventure,120,10,70,20,0,0,20,0,,,,
52,Going out,0,0,0,0,0,0,0,0,,,,
53,Vegetarian food,72,1,5,5,40,0,1,20,,,,
54,Healthy food,82,1,5,5,50,0,1,20,,,,
55,Good drinks,92,1,5,5,60,0,1,20,,,,
56,Cocktails,62,1,5,5,40,0,1,10,,,,
57,Dancing,206,10,40,40,5,20,90,1,,,,
58,Cheap,350,50,50,50,50,50,50,50,,,,
59,Museums,0,0,0,0,0,0,0,0,,,,
60,Beer,250,40,40,50,40,0,60,20,,,,
61,Outdoor food,57,1,5,5,40,0,5,1,,,,
62,Pub food,43,1,5,5,30,0,1,1,,,,
63,Squalor,0,0,0,0,0,0,0,0,,,,
64,Scottish food,33,1,5,5,20,0,1,1,,,,
65,Italian food,73,1,5,5,60,0,1,1,,,,
66,Pizzas,83,1,5,5,70,0,1,1,,,,
67,Shopping,0,0,0,0,0,0,0,0,,,,
68,Souvenirs,80,10,10,10,0,0,0,50,,,,
69,Authentic souvenirs,90,10,10,10,0,0,0,60,,,,
70,Beautiful experience,120,10,10,70,0,10,0,20,,,,
71,Beautiful view,201,10,10,40,0,80,60,1,,,,
72,Convenience,61,10,10,10,1,10,10,10,,,,
73,Comfort,71,10,10,10,10,10,20,1,,,,
74,Comfortable seats,101,10,10,10,30,10,30,1,,,,
75,Nature,181,70,10,40,0,50,10,1,,,,
76,Peaceful atmosphere,210,40,10,60,30,20,30,20,,,,
77,Driving,0,0,0,0,0,0,0,0,,,,
78,Driving a boat,0,0,0,0,0,0,0,0,,,,
79,Fruit,33,1,5,5,20,0,1,1,,,,
80,Meat,33,1,5,5,20,0,1,1,,,,
81,Ice cream,43,1,10,10,20,0,1,1,,,,
82,Local food,83,1,10,10,60,0,1,1,,,,
83,Vegetables,33,1,5,5,20,0,1,1,,,,
