e,name,sum,Good food,Music,Live music,Outdoor exercise,Swimming,Food,Much food,Burgers,Fast Food,Midnight service,Service,Types of food,Conscious food,Snacks,Crowdedness,Ingredients,Bacon,Grapes,Ham,Dishes,Hash browns,Hiking,Internet,Drinks,Coffee,Atmosphere,Kitchens,Indian kitchen,Romantic atmosphere,Market,Culture,Art,History,Architecture,Experience,Thrill,Local culture,Local people,Walking,Relaxing,Outdoor,Picnics,Chips,Craftmanship,Alcoholic drinks,Modern art,Traditional local culture,Fun,Animals,Dolphins,Adventure,Going out,Vegetarian food,Healthy food,Good drinks,Cocktails,Dancing,Cheap,Museums,Beer,Outdoor food,Pub food,Squalor,Scottish food,Italian food,Pizzas,Shopping,Souvenirs,Authentic souvenirs,Beautiful experience,Beautiful view,Convenience,Comfort,Comfortable seats,Nature,Peaceful atmosphere,Driving,Driving a boat,Fruit,Meat,Ice cream,Local food,Vegetables,Cinema,Arthouse films,Train rides,Weddings,Bagles,Non-alcoholic drinks,Chocolate drinks,Paninis,Social atmosphere,Cheesecakes,Purchasing art,Waterfalls,Fishing,Fly fishing,Late night service,Spas,Wine,Body art,Tattoos,Piercings,Jazz,Blues,Sea views,Quiet atmosphere,Gardens,Cider,Excitement,Massage,Beautiful sights,Cycling,Mountain biking
0,Brummen,292,3,3,9,4,9,9,2,9,9,4,-3,3,-3,1,0,4,4,0,1,-1,2,1,1,1,-3,9,-3,9,9,4,0,0,1,9,1,1,1,1,0,3,-1,1,0,9,1,1,4,4,1,1,2,1,1,1,0,1,9,4,9,-1,-3,-3,1,0,1,1,1,9,4,4,4,4,2,-1,2,0,-2,4,4,1,0,0,9,-1,0,9,9,2,-3,9,-2,9,1,-3,1,-3,9,-3,4,0,-2,0,0,9,9,9,2,1,4,2,9,4,0,3
1,Buren,295,2,-1,1,0,1,4,2,-1,4,0,-3,0,1,3,3,-2,9,9,9,3,2,9,0,4,-2,9,2,2,4,4,1,1,1,-2,4,-3,9,-3,3,9,0,0,0,2,-3,0,9,1,-1,4,1,-1,-2,-1,2,3,4,3,2,0,-1,9,9,4,9,9,4,-3,2,-3,3,-2,3,-2,3,9,9,0,1,9,2,9,4,1,9,2,9,-2,0,2,9,-3,3,-3,-1,-3,9,1,-1,9,9,0,4,3,1,9,2,1,0,9,2,4,1,1
2,Culemborg,235,-2,4,4,4,4,1,2,1,1,-2,4,1,-2,3,3,-2,9,0,0,4,4,1,1,-2,3,1,-1,1,9,1,1,4,1,9,0,4,9,9,4,9,1,1,1,-1,-3,2,9,9,4,-1,3,0,-3,-1,1,4,1,-1,9,0,9,0,1,0,0,1,-1,3,0,0,9,1,1,-1,-3,9,1,3,-3,9,2,0,2,-3,3,-1,4,1,-3,1,9,-2,9,1,0,0,-2,2,2,0,-2,1,9,4,4,4,-2,1,-2,4,9,1,0,0
3,Didam,179,1,0,1,4,1,1,2,1,4,0,1,1,9,-1,-2,4,-3,1,4,4,9,2,3,-3,-1,4,4,-2,1,3,1,1,9,9,0,-1,-2,0,-3,-1,0,4,0,4,0,1,-1,0,4,0,4,4,1,3,1,-3,0,4,9,1,1,4,1,1,1,4,4,1,4,4,4,1,3,9,4,4,1,1,0,3,-1,2,-3,1,4,1,-3,3,0,1,-2,1,-2,0,-2,4,4,1,-3,9,1,1,4,-1,4,-2,1,-1,1,-1,1,1,0,-2
4,Dinxperlo,233,-2,0,4,0,-2,9,9,0,4,9,9,0,1,-2,2,-1,1,9,1,0,9,1,-2,4,4,0,-3,3,9,4,9,-2,9,4,-1,-3,-2,4,4,9,9,1,3,1,-1,2,-3,1,1,1,4,1,1,9,4,4,0,1,-1,3,1,4,1,1,9,4,9,1,-1,-1,-1,0,1,1,0,0,4,-3,1,3,-1,3,2,1,4,0,-2,0,9,2,4,-3,-2,-2,3,1,-3,1,0,1,4,3,2,1,1,1,0,9,2,-1,1,-1,9,-2
5,Doesburg,181,1,4,-1,1,1,1,-2,1,1,9,0,-2,1,-1,9,1,4,-3,1,1,1,1,0,-1,9,0,0,4,-1,-2,1,3,0,1,4,4,-2,9,3,0,0,3,1,0,-2,1,4,0,0,-1,-2,1,-1,1,0,9,1,3,0,0,9,-2,9,1,9,1,2,9,3,4,-1,9,1,-3,9,1,0,-3,4,0,1,-2,4,-3,1,1,-3,-2,1,4,1,-2,1,1,4,9,9,1,4,-3,2,-2,2,3,4,1,4,0,-2,1,0,0,1,-1
6,Doetinchem,260,0,9,2,3,-2,1,2,3,-2,-1,-3,-1,2,-3,0,4,3,-1,-1,2,3,9,1,4,2,1,0,1,4,1,-2,0,0,-1,-1,-1,0,1,4,1,1,3,0,2,-1,1,9,-2,4,4,-2,4,9,1,2,4,9,2,1,3,2,0,4,-2,9,3,3,0,0,1,-3,9,1,0,-3,0,-1,-1,4,9,-1,-1,9,9,2,9,9,4,4,3,3,1,9,9,2,1,-1,9,0,9,3,0,2,0,-2,4,3,1,1,4,4,0,9,9
7,Druten,221,9,-1,-1,1,-2,0,4,4,4,0,0,-2,1,9,9,2,1,1,0,3,1,2,0,9,3,2,9,1,4,1,9,4,4,-3,2,1,0,-1,4,2,-3,0,1,4,-1,4,9,2,0,-1,4,4,1,0,0,1,2,0,9,0,4,3,4,4,4,0,1,-1,0,1,9,2,-1,2,1,3,1,9,-3,4,-1,0,4,1,-1,-3,0,4,1,1,-1,-2,0,1,0,3,3,0,9,1,-1,9,4,-2,0,1,0,1,-2,-2,1,9,0,4
8,Duiven,256,0,4,1,1,2,9,1,9,1,1,0,4,-1,1,1,0,9,-2,-1,4,-3,0,4,-2,3,2,1,-1,1,4,3,4,3,3,-3,1,9,-1,4,1,0,4,1,1,1,-2,4,9,9,9,0,1,1,1,3,0,-3,3,1,9,0,4,4,0,9,-3,2,0,3,-1,9,1,9,-3,9,1,-1,2,2,-3,9,-2,-3,1,1,0,-1,0,3,9,9,9,4,2,0,4,4,4,3,1,4,0,2,0,0,-3,0,4,9,4,3,1,1,1
9,Ede,231,1,1,-3,4,2,-3,1,2,4,2,9,0,-2,9,0,-3,-2,-3,0,3,4,1,3,1,-2,9,0,-3,-2,1,4,0,0,-3,2,2,9,1,4,9,9,0,1,2,-2,4,4,4,0,0,-1,4,4,3,4,2,9,0,1,3,-1,4,4,2,1,9,1,9,1,-1,1,-3,4,-2,-1,4,2,-1,0,4,2,9,1,1,4,0,9,4,-2,9,1,1,1,4,1,-1,1,1,1,3,0,4,9,-1,-1,4,0,4,3,4,0,1,4,0
10,Eibergen,176,-1,1,0,1,3,-3,-3,3,9,-1,1,9,-3,4,3,1,1,3,4,4,4,2,-1,-2,0,0,9,0,1,9,1,-2,1,4,0,9,2,1,9,0,1,1,1,-1,3,9,-1,9,-3,1,1,0,0,0,-1,0,4,1,4,9,-2,1,0,9,0,-2,2,-3,-1,-3,2,9,9,3,1,-3,-1,0,0,-3,-2,9,1,-1,1,9,1,-3,0,0,4,1,4,9,-1,-2,0,-3,0,-2,4,-1,0,1,-3,2,-1,-2,1,4,0,1,3,3
11,Elburg,273,4,9,-3,-3,-3,1,-2,9,4,1,3,3,1,0,0,4,3,-1,1,9,1,1,3,9,9,9,1,4,2,1,-2,0,1,9,9,1,-2,4,9,2,4,1,-1,3,-3,-2,9,4,-3,-2,0,-2,3,3,-2,-2,-1,0,1,4,0,1,9,9,1,-1,9,1,1,2,-1,1,9,1,9,4,2,4,0,2,3,4,9,1,1,9,3,4,9,4,1,9,4,1,0,4,1,-2,0,1,-3,4,-1,4,1,0,1,1,-3,-3,3,2,9,4
12,Epe,265,1,0,9,0,9,4,2,0,9,0,3,2,1,4,1,-2,4,4,4,9,-2,4,-2,-2,9,4,-2,-2,4,4,1,-1,0,9,9,4,0,4,3,-2,-2,2,2,3,1,4,4,2,2,-3,-3,9,9,3,1,9,-2,9,-2,-1,9,-3,-1,9,-3,2,0,1,1,9,1,-3,-2,9,-1,0,-2,4,1,9,1,-2,1,-3,4,0,1,9,-3,0,-3,-1,9,0,9,1,1,-2,2,-1,1,2,-3,-3,2,9,3,3,9,4,9,0,9,4
13,Ermelo,221,0,-3,2,-1,4,-1,0,1,2,9,4,-3,-2,1,4,-3,0,-3,9,9,4,-3,-3,-2,1,2,4,2,1,4,3,1,2,3,9,4,-1,9,1,1,4,4,1,-3,0,-3,4,-1,-3,-2,4,2,-2,1,1,4,1,-1,1,4,-1,-3,4,0,4,3,-3,1,1,9,9,3,-1,-1,9,4,9,4,1,1,1,-3,9,2,9,4,4,1,4,-3,1,1,-1,2,-2,9,3,1,9,9,0,-3,1,-3,1,-1,4,4,1,0,1,4,3,9
14,Geldermalsen,235,0,0,1,1,-3,9,1,4,9,-1,2,0,1,-2,9,4,2,4,2,1,9,-3,4,4,3,4,-1,0,0,0,-1,0,0,9,1,4,-3,4,-2,3,-2,1,9,-2,0,9,-3,4,-3,1,3,2,1,1,2,1,1,9,2,0,0,3,-1,-3,0,0,-3,4,3,0,4,9,1,1,3,9,0,-3,9,1,0,-1,4,4,-2,0,2,4,-1,2,1,-1,4,-2,9,0,0,1,9,-2,0,3,9,9,1,4,3,3,0,1,9,9,1,0
